Commodity,Lot size,Price,NRML Margin,MIS Margin
GOLDPETAL,1 GRMS,4630,451,225
GOLD,1 KGS,46161,472688,236344
SILVERMIC,1 KGS,43803,5287,2643
CPO,10 MT,577.2,77056,0
CRUDEOIL,100 BBL,1834,185692,92846
GOLDM,100 GRMS,46225,46086,23043
NATURALGAS,1250 MMBTU,145.6,51305,25652
NICKEL,1500 KGS,929.3,156819,78409
COPPER,2.5 MT,409.85,101847,50923
COTTON,25 BALES,15530,47793,0
SILVER,30 KGS,43123,167403,83701
MENTHAOIL,360 KGS,1075,70627,0
KAPAS,4 MT,1050,23310,11655
SILVERM,5 KGS,43763,30152,15076
ALUMINIUM,5 MT,133.15,61581,30790
LEAD,5 MT,133.4,75037,37518
ZINC,5 MT,155.45,87440,43720
GOLDGUINEA,8 GRMS,37259,3446,1723
SILVERM,5 KGS,37050,9725,4862
ALUMINIUM,5 MT,142.5,42322,21161
LEAD,5 MT,152.7,51230,25615
ZINC,5 MT,204.75,70331,35165
GOLDGUINEA,8 GRMS,26008,1365,682
