Stock,Margin
3MINDIA,5x
AARTIDRUGS,5x
AARTIIND,5x
ABB,5x
ABBOTINDIA,5x
ABCAPITAL,5x
ABFRL,5x
ACC,10.5x
ACCELYA,16x
ADANIENT,5x
ADANIGAS,5x
ADANIPORTS,5x
ADANIPOWER,5x
AIAENG,5x
AJANTPHARM,5x
AKZOINDIA,5x
ALICON,3.25x
ALKEM,5x
AMARAJABAT,9.81x
AMBER,5x
AMBUJACEM,7.87x
AMJLAND,3.27x
AMRUTANJAN,5x
APLAPOLLO,4.21x
APOLLOHOSP,5x
APOLLOTYRE,9.27x
AROGRANITE,3.26x
ARVIND,5x
ARVSMART,3.3x
ASHOKA,5x
ASHOKLEY,5x
ASIANHOTNR,3.3x
ASIANPAINT,11.9x
ASIANTILES,4.44x
ASPINWALL,3.25x
ASTRAL,5x
ASTRAZEN,5x
ATUL,5x
AUBANK,8.24x
AUROPHARMA,6x
AUTOAXLES,5x
AVANTIFEED,5x
AXISBANK,5x
BAJAJ-AUTO,9.54x
BAJAJELEC,5x
BAJAJFINSV,5x
BAJAJHLDNG,5x
BAJFINANCE,5x
BALAJITELE,5x
BALAMINES,4.6x
BALKRISIND,5x
BALMLAWRIE,5x
BANCOINDIA,5x
BANDHANBNK,4.45x
BANKBARODA,4.68x
BANKINDIA,5x
BASML,3.25x
BATAINDIA,10.64x
BAYERCROP,5x
BBTC,5x
BDL,5x
BEL,5x
BEML,5x
BERGEPAINT,10.73x
BHARATFORG,5x
BHARTIARTL,8.05x
BHEL,4.6x
BIOCON,12.79x
BIRLACORPN,5x
BLUEDART,4.36x
BOMDYEING,5x
BOSCHLTD,8.94x
BPCL,4.54x
BRITANNIA,9.53x
BSE,5x
BSOFT,5x
CADILAHC,7.62x
CANBK,5x
CANFINHOME,5x
CAPLIPOINT,5x
CARBORUNIV,5x
CASTROLIND,5x
CCL,5x
CDSL,5x
CENTURYPLY,5x
CENTURYTEX,5x
CERA,5x
CESC,7.93x
CGCL,5x
CHAMBLFERT,5x
CHEMBOND,3.24x
CHENNPETRO,5x
CHOLAFIN,4.9x
CHOLAHLDNG,5x
CIPLA,8.92x
CLNINDIA,5x
COALINDIA,8.53x
COCHINSHIP,5x
COLPAL,12.24x
CONCOR,5x
CONSOFINVT,3.19x
CONTROLPR,3.25x
COROMANDEL,5x
COSMOFILMS,5x
CREATIVE,3.3x
CRISIL,5x
CROMPTON,5x
CSBBANK,5x
CUB,5x
CUMMINSIND,9.65x
CYIENT,5x
DABUR,12.16x
DALBHARAT,5x
DAMODARIND,3.22x
DBCORP,4.01x
DBL,5x
DCBBANK,5x
DECCANCE,3.3x
DEEPAKFERT,5x
DEEPAKNTR,5x
DIAMONDYD,3.3x
DIVISLAB,8.67x
DIXON,5x
DLF,8.31x
DREDGECORP,5x
DRREDDY,9.5x
DYNPRO,3.26x
EICHERMOT,8.78x
EIDPARRY,5x
EIHAHOTELS,3.3x
EMAMILTD,5x
ENDURANCE,5x
ENGINERSIN,5x
EQUITAS,4.92x
ERIS,5x
ESCORTS,5x
EXIDEIND,7.6x
FACT,4.27x
FDC,5x
FEDERALBNK,5x
FIEMIND,5x
FINEORG,5x
FORCEMOT,5x
FORTIS,5x
FOSECOIND,5x
GAIL,4.88x
GALAXYSURF,5x
GANDHITUBE,3.3x
GARFIBRES,5x
GEEKAYWIRE,3.25x
GENUSPOWER,5x
GEPIL,5x
GESHIP,4.03x
GILLETTE,5x
GIPCL,5x
GLAXO,5x
GLENMARK,5.81x
GMBREW,4.25x
GMDCLTD,5x
GMRINFRA,5x
GNFC,5x
GODFRYPHLP,5x
GODREJCP,9.15x
GODREJIND,5x
GODREJPROP,5x
GOLDBEES,16x
GOLDSHARE,16x
GPPL,5x
GRANULES,5x
GRASIM,5x
GREENPLY,5x
GRINDWELL,5x
GRSE,5x
GSPL,5x
GUFICBIO,4.84x
GUJGASLTD,5x
GULFOILLUB,5x
HAL,5x
HAVELLS,10.06x
HBLPOWER,5x
HCLTECH,8.53x
